condition,seed,contaminated,fa0_mean_treesim,n_tasks,n_success,n_api_error,mean_elapsed_sec,mean_rag_calls,mean_mem_calls,mean_tool_calls,total_cost_usd
A1_noplug,s1,,0.4973,17,16,0,270.8,0,0,37.71,3.7626
A1_noplug,s2,,0.3694,17,17,0,251.0,0,0,31.82,2.3411
A2_plug_nohook,s1,,0.4397,17,17,0,273.0,12.94,0,24.41,3.8604
A2_plug_nohook,s2,,0.3031,17,17,0,388.1,17.12,0,31.47,4.3343
A3_plug_hook,s1,,0.6644,17,17,0,285.3,14.65,0,28.29,3.957
A3_plug_hook,s2,,0.6409,17,17,0,300.6,15.12,0,27.94,4.1191
A3_plug_hook,s3,,0.2671,17,17,0,397.4,17.29,0,32.18,3.8787
A4_plug_mem_nohook,s1,,0.7907,17,17,0,368.5,10.59,0,22,3.1107
A4_plug_mem_nohook,s2,,0.531,17,17,0,247.6,16,0,30.47,4.5323
A5_plug_mem_hook,s1,,0.3172,17,17,0,287.6,16.12,0,30.53,4.219
A5_plug_mem_hook,s2,,0.7294,17,17,0,236.8,12.59,0,23.06,3.2657
A5_plug_mem_hook,s3,,0.7755,17,16,0,359.2,11.71,0,23.65,3.4806
M_placebo,s1,,0.316,17,17,0,397.1,16,0,31.47,3.7789
M_placebo,s2,,0.3969,17,17,0,372.8,16.18,0,29.06,4.3219
M_placebo,s3,,0.4046,17,17,0,280.1,17.29,0,29.94,7.6138
M1_u_cheatsheet_ungrounded,s1,,0.8591,17,17,0,162.3,11.18,0,21.88,6.4012
M1_u_cheatsheet_ungrounded,s2,,0.7827,17,17,0,204.9,10.41,0,24.35,8.3101
M1_u_cheatsheet_ungrounded,s3,,0.7475,17,17,0,219.0,11.76,0,25.88,7.1502
M1_g_cheatsheet_grounded,s1,,0.8165,17,17,0,199.8,9.53,0,22.47,6.0657
M1_g_cheatsheet_grounded,s2,,0.7546,17,17,0,262.9,13.41,0,27.76,9.3735
M1_g_cheatsheet_grounded,s3,,0.7277,17,17,0,224.5,11.47,0,23.18,6.2935
M3_g_tool_grounded,s1,,0.2811,17,17,0,294.5,14.18,0,25.41,2.8054
M3_g_tool_grounded,s2,403 weekly key limit (17/17 tasks),0.0,17,0,17,52.1,8.59,0,8.88,0.3117
M3_g_tool_grounded,s3,403 weekly key limit (17/17 tasks),0.0,17,0,17,13.3,0,0,0,0
M3_g_tool_grounded_hinted,s1,,0.0,,,,0,0,0,0,0
M4_u_items_ungrounded,s1,,0.7116,17,16,0,262.7,14.76,0,29.82,11.0765
M4_u_items_ungrounded,s2,,0.746,17,17,0,221.0,16.24,0,28.41,2.3767
M4_u_items_ungrounded,s3,402 credit exhaustion (13/17 tasks),0.1533,17,4,13,42.5,3.41,0,5.29,1.5762
M4_g_items_grounded,s1,,0.8143,17,17,0,217.3,12.12,0,22.41,6.3007
M4_g_items_grounded,s2,,0.3131,17,17,0,404.3,16.82,0,29.47,3.4741
M4_g_items_grounded,s3,,0.2804,17,17,0,171.1,11.24,0,18.82,1.5237
