condition,seed,contaminated,task,treesim,process_status,api_error,elapsed_sec,rag_calls,mem_calls,total_tool_calls,openrouter_cost_usd
A1_noplug,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.1457,success,False,339.6,0,0,8,0.08925630000000001
A1_noplug,s1,,AdvancedExampleDeviatedElasticWellbore,0.6515,success,False,215.8,0,0,47,0.25674681
A1_noplug,s1,,AdvancedExampleDruckerPrager,0.7877,success,False,160.4,0,0,65,0.22991079000000003
A1_noplug,s1,,AdvancedExampleExtendedDruckerPrager,0.0,success,False,217.7,0,0,30,0.17984724
A1_noplug,s1,,AdvancedExampleModifiedCamClay,0.1407,success,False,290.5,0,0,71,0.4016447500000001
A1_noplug,s1,,AdvancedExampleViscoDruckerPrager,0.1285,success,False,135.7,0,0,11,0.07508136
A1_noplug,s1,,ExampleDPWellbore,0.9216,success,False,284.6,0,0,48,0.21940802
A1_noplug,s1,,ExampleEDPWellbore,0.932,success,False,386.5,0,0,54,0.34168870999999995
A1_noplug,s1,,ExampleIsothermalLeakyWell,0.3481,success,False,388.1,0,0,18,0.21423078
A1_noplug,s1,,ExampleMandel,0.9253,success,False,253.0,0,0,16,0.13674654
A1_noplug,s1,,ExampleThermalLeakyWell,0.0,failed,False,219.0,0,0,83,0.35187251
A1_noplug,s1,,ExampleThermoporoelasticConsolidation,0.8686,success,False,319.4,0,0,51,0.27206652
A1_noplug,s1,,TutorialPoroelasticity,0.725,success,False,237.3,0,0,21,0.1642506
A1_noplug,s1,,TutorialSneddon,0.1953,success,False,287.7,0,0,16,0.15331493999999998
A1_noplug,s1,,buckleyLeverettProblem,0.7752,success,False,284.3,0,0,57,0.29269118000000005
A1_noplug,s1,,kgdExperimentValidation,0.8875,success,False,419.5,0,0,25,0.29774784
A1_noplug,s1,,pknViscosityDominated,0.021,success,False,164.5,0,0,20,0.08610876
A1_noplug,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.9503,success,False,248.9,0,0,41,0.20667607999999998
A1_noplug,s2,,AdvancedExampleDeviatedElasticWellbore,0.0,success,False,179.9,0,0,46,0.14719708
A1_noplug,s2,,AdvancedExampleDruckerPrager,0.1732,success,False,181.0,0,0,8,
A1_noplug,s2,,AdvancedExampleExtendedDruckerPrager,0.396,success,False,84.1,0,0,7,
A1_noplug,s2,,AdvancedExampleModifiedCamClay,0.0,success,False,270.6,0,0,12,0.00551184
A1_noplug,s2,,AdvancedExampleViscoDruckerPrager,0.3168,success,False,94.6,0,0,8,
A1_noplug,s2,,ExampleDPWellbore,1.0,success,False,344.0,0,0,65,0.24574995
A1_noplug,s2,,ExampleEDPWellbore,0.0146,success,False,122.4,0,0,9,0.03090996
A1_noplug,s2,,ExampleIsothermalLeakyWell,0.1097,success,False,203.4,0,0,2,0.00957792
A1_noplug,s2,,ExampleMandel,0.269,success,False,273.2,0,0,16,0.08808311999999999
A1_noplug,s2,,ExampleThermalLeakyWell,0.9514,success,False,387.9,0,0,75,0.21985366000000003
A1_noplug,s2,,ExampleThermoporoelasticConsolidation,0.0044,success,False,595.3,0,0,32,0.30529062
A1_noplug,s2,,TutorialPoroelasticity,0.0,success,False,113.0,0,0,9,
A1_noplug,s2,,TutorialSneddon,0.1334,success,False,335.8,0,0,17,0.08749115999999998
A1_noplug,s2,,buckleyLeverettProblem,0.9611,success,False,460.3,0,0,147,0.7203447900000003
A1_noplug,s2,,kgdExperimentValidation,1.0,success,False,195.5,0,0,43,0.26003811
A1_noplug,s2,,pknViscosityDominated,0.0,success,False,177.9,0,0,4,0.014414820000000002
A2_plug_nohook,s1,,AdvancedExampleCasedContactThermoElasticWellbore,0.3403,success,False,575.1,25,0,41,0.52923048
A2_plug_nohook,s1,,AdvancedExampleDeviatedElasticWellbore,0.0,success,False,35.4,2,0,2,0.00937602
A2_plug_nohook,s1,,AdvancedExampleDruckerPrager,0.0,success,False,43.5,4,0,7,0.038252879999999996
A2_plug_nohook,s1,,AdvancedExampleExtendedDruckerPrager,1.0,success,False,298.7,9,0,37,0.2765427
A2_plug_nohook,s1,,AdvancedExampleModifiedCamClay,0.5682,success,False,146.5,12,0,19,0.09510096
A2_plug_nohook,s1,,AdvancedExampleViscoDruckerPrager,0.9854,success,False,218.3,14,0,41,0.2471334
A2_plug_nohook,s1,,ExampleDPWellbore,0.0,success,False,38.7,6,0,6,0.01940634
A2_plug_nohook,s1,,ExampleEDPWellbore,0.9454,success,False,172.9,11,0,17,0.11394858000000001
A2_plug_nohook,s1,,ExampleIsothermalLeakyWell,0.3536,success,False,610.5,15,0,25,0.30022326
A2_plug_nohook,s1,,ExampleMandel,0.3135,success,False,288.1,13,0,21,0.17728746
A2_plug_nohook,s1,,ExampleThermalLeakyWell,0.0,success,False,27.3,3,0,3,
A2_plug_nohook,s1,,ExampleThermoporoelasticConsolidation,0.2742,success,False,435.0,31,0,43,0.43588422
A2_plug_nohook,s1,,TutorialPoroelasticity,0.6671,success,False,237.2,14,0,25,0.18547073999999997
A2_plug_nohook,s1,,TutorialSneddon,0.1477,success,False,362.4,15,0,36,0.35337372
A2_plug_nohook,s1,,buckleyLeverettProblem,0.6287,success,False,467.6,16,0,44,0.51920856
A2_plug_nohook,s1,,kgdExperimentValidation,0.9226,success,False,157.5,6,0,11,0.08418252
A2_plug_nohook,s1,,pknViscosityDominated,0.3283,success,False,525.8,24,0,37,0.4757665799999999
A2_plug_nohook,s2,,AdvancedExampleCasedContactThermoElasticWellbore,0.0451,success,False,349.0,6,0,12,0.08528166000000001
A2_plug_nohook,s2,,AdvancedExampleDeviatedElasticWellbore,0.1184,success,False,299.2,21,0,33,0.21269328
A2_plug_nohook,s2,,AdvancedExampleDruckerPrager,0.4091,success,False,306.7,14,0,25,0.14242992
A2_plug_nohook,s2,,AdvancedExampleExtendedDruckerPrager,0.4396,success,False,355.7,10,0,31,0.25880532
A2_plug_nohook,s2,,AdvancedExampleModifiedCamClay,0.5389,success,False,118.0,9,0,16,0.06361692
A2_plug_nohook,s2,,AdvancedExampleViscoDruckerPrager,0.5589,success,False,184.1,12,0,20,0.08950620000000001
A2_plug_nohook,s2,,ExampleDPWellbore,0.0662,success,False,251.4,21,0,30,0.20849676
A2_plug_nohook,s2,,ExampleEDPWellbore,0.7045,success,False,318.8,17,0,25,0.18973782
A2_plug_nohook,s2,,ExampleIsothermalLeakyWell,0.1827,success,False,453.3,17,0,29,0.27836081999999995
A2_plug_nohook,s2,,ExampleMandel,0.0,success,False,254.2,13,0,23,0.17257836000000001
A2_plug_nohook,s2,,ExampleThermalLeakyWell,0.3644,success,False,935.8,21,0,66,0.6320049600000001
